# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



BEXIT1	62452B6A	Suit yourself.
BEXIT2	FB4C7AD0	Whatever. See you 'round.
DNCEF1	353AA04F	You need to put more time in on the dance floor!
DNCEF2	AC33F1F5	Boy, you're a terrible dancer!
DOFFE1	16EF9457	Well why don't you come and dance?
DOFFE1N	647D4754	Thanks, but I'm not into that right now.
DOFFE1Y	E7AEC293	Yeah, for sure!
DOFFE2	8FE6C5ED	Well why don't you come and dance?
DOFFE2N	4F501497	I appreciate the offer, girl, but I got some shit to take care of.
DOFFE2Y	CC839150	OK, let's do this!
DOFFE3	F8E1F57B	Well, hey, let's dance, sugar!
DOFFE3N	564B25D6	Thanks, but I'm not into that right now.
DOFFE3Y	D598A011	Yeah, for sure!
DOFFE4	668560D8	Well, hey, let's dance, sugar!
DOFFE4N	190AB311	I appreciate the offer, girl, but I got some shit to take care of.
DOFFE4Y	9AD936D6	OK, let's do this!
DSTAR1	4923E3D3	C'mon, homeboy, impress me.
DSTAR2	D02AB269	Let's see what you got...
GEXIT1	3288BAD9	Well, come on back when you ain't so rushed.
GEXIT2	AB81EB63	If you change your mind you know where to find me.
HI1	0E520EE3	Hey, what's poppin'?
HI1N	A8698D5B	Look, I'm busy, OK?
HI1Y	2BBA089C	Just looking for some fun...
HI2	975B5F59	Hey, what's poppin'?
HI2N	8344DE98	No time to chat, baby!
HI2Y	00975B5F	Just hanging out, you know...
HI3	E05C6FCF	Whassup?
HI3N	9A5FEFD9	Look, I'm busy, OK?
HI3Y	198C6A1E	Just looking for some fun...
HI4	7E38FA6C	Whassup?
HI4N	D51E791E	No time to chat, baby!
HI4Y	56CDFCD9	Just hanging out, you know...
HI5	093FCAFA	Hey, what's crackin'?
HI5N	CC05485F	Look, I'm busy, OK?
HI5Y	4FD6CD98	Just looking for some fun...
HI6	90369B40	Hey, what's crackin'?
HI6N	E7281B9C	No time to chat, baby!
HI6Y	64FB9E5B	Just hanging out, you know...
HI7	E731ABD6	Hey, thought you'd come back, huh?
HI7N	FE332ADD	Look, I'm busy, OK?
HI7Y	7DE0AF1A	Just looking for some fun...
HI8	778EB647	Hey, thought you'd come back, huh?
HI8N	79AB3612	No time to chat, baby!
HI8Y	FA78B3D5	Just hanging out, you know...
LOC1_AA	C7AB5CA7	Been here two months and all I've done is porno.
LOC1_AB	5EA20D1D	It's great to relax after a day's shoot.
LOC1_AC	29A53D8B	Great party!
LOC1_AD	B7C1A828	This is so romantic!
LOC1_AE	C0C698BE	I love sitting around a fire!
LOC1_AF	59CFC904	The sea is stunning!
