# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



TX_ADDS	DDDBAFAE	TIP
TX_ANYP	B62917DE	~s~You have ~1~ seconds to get into any ~r~taxi~s~.
TX_ANYS	2F204664	~s~You have ~1~ second to get into any ~r~taxi~s~.
TX_BC1	BBBBCA11	~s~DESTINATION ~y~The Big Spread Ranch.
TX_BC2	22B29BAB	~s~DESTINATION ~y~The Sherman Dam.
TX_BC3	55B5AB3D	~s~DESTINATION ~y~Desert Airfield.
TX_BC4	CBD13E9E	~s~DESTINATION ~y~Shooting Range.
TX_BC5	BCD60E08	~s~DESTINATION ~y~Lil' Probe Inn.
TX_CABP	BE4A53F2	~s~You have ~1~ seconds to get back in the ~r~taxi~s~.
TX_CABS	27430248	~s~You have ~1~ second to get back in the ~r~taxi~s~.
TX_DONE	E86BEDA6	Taxi Missions Complete!
TX_END	2B35276A	Taxi mission over
TX_F1	6AEAC790	~r~Not in taxi!
TX_F2	F3E3962A	~r~Out of time!
TX_F3	84E4A6BC	~r~Taxi destroyed!
TX_FAST	DD2044C9	SPEED BONUS!
TX_FLED	D4D77229	~r~Your passenger wants to escape!
TX_H1	F469EA1E	Stop near a highlighted pedestrian to pick them up then drive them to their destination before the time runs out.
TX_JUNK	FEBD9134	~r~Your car is trashed. Get it repaired.
TX_LS1	FBE7F54A	~s~DESTINATION ~y~Liquor Mart.
TX_LS10	B02B7FD7	~s~DESTINATION ~y~Mama's Cinema.
TX_LS11	C72C4F41	~s~DESTINATION ~y~A 24 hour motel.
TX_LS12	5E251EFB	~s~DESTINATION ~y~The Well Stacked Pizza Co.
TX_LS13	29222E6D	~s~DESTINATION ~y~Reece's Barber Shop.
TX_LS14	B746BBCE	~s~DESTINATION ~y~The tattoo shop.
TX_LS15	C0418B58	~s~DESTINATION ~y~The truck park.
TX_LS16	5948DAE2	~s~DESTINATION ~y~Unity Station.
TX_LS17	2E4FEA74	~s~DESTINATION ~y~The Airport.
TX_LS18	BEF0F7E5	~s~DESTINATION ~y~The Airport.
TX_LS19	C9F7C773	~s~DESTINATION ~y~The Observatory.
TX_LS2	62EEA4F0	~s~DESTINATION ~y~The Stadium.
TX_LS20	9B062C14	~s~DESTINATION ~y~The police station.
TX_LS21	EC011C82	~s~DESTINATION ~y~Pershing Square.
TX_LS22	75084D38	~s~DESTINATION ~y~Skate Park.
TX_LS23	020F7DAE	~s~DESTINATION ~y~County General Hospital.
