# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



TWAR2_A	BB0262D9	~s~Masuk ke dalam ~b~mobil~s~.
TWAR2_C	550C03F5	~s~Berkendaralah ke drive-thru ~y~Cluckin' Bell~s~.
SWE3_B	6102A53F	~s~Kejar ~r~mobil geng musuh~s~ sebelum mereka menghabisi kawan-kawanmu!
K_BALLA	FC4B8AFA	~s~Habisi anggota geng ~r~Ballas~s~.
SWE3_H	81D74C21	~s~Anggota geng di mobilmu akan menembaki ancaman jika jarakmu cukup dekat.
TW2_X	DDE8FF51	~s~Masuk kembali ke dalam ~b~mobil~s~.
TW2_W	4D57E2C0	~s~Kembalilah ke ~y~rumah Sweet~s~.
TW2_Z	33E69E7D	~s~Antarkan Smoke pulang ke ~y~rumahnya~s~.
SWE3_D	8861000A	~r~Mobilnya hancur!
SWE3_E	FF66309C	~r~Sweet tewas!
SWE3_F	666F6126	~r~Ryder tewas!
SWE3_G	116851B0	~r~Smoke tewas!
SWE3_FG	3AD33EAF	Tenang dulu napa, bocah.
SWE3_FH	AA6C233E	Kamu tidak bisa menembak Smoke!
SWE3_I	F6D07CB7	~r~Kawanan Ballas menghabisi kawan-kawanmu!
TW2_Y	AAEFCFC7	~r~Kamu gagal melindungi kawan-kawanmu.
SWE2A00	23D3ED5F	Respek itu harus diusahain, Sweet, sama persis kayak nyari duit.
SWE2A01	54D4DDC9	Maksud omongan lu apa nih? Lu gak ngerespek gue?
SWE2A02	CDDD8C73	Maksud gue tuh gini ya...
SWE2A13	A3C18DA4	Ngomong napa, bangsat!
SWE2A14	3DA51807	Gue laper bego!
SWE2A15	4AA22891	Aduh ampun dah sialan... Hei, ada apaan sih nih ribut-ribut?
SWE2A03	BADABCE5	Manusia gak bisa hidup cuma modal makan roti doang. Gue paham betul, udah pernah gue cobain tuh hal bodoh.
SWE2A04	24BE2946	Carl, lu keliatan krempeng banget, bro.
SWE2A05	53B919D0	Lu pasti laper kan, bro.~n~Iya nih, boleh lah makan.
SWE2A07	BDB778FC	Bung, kalian pada mau makan apa nih? Gimana kalau makan taco?
SWE2A08	2D08656D	Taco? Lagi? Ogah banget bangsat.
SWE2A09	5A0F55FB	Ayam goreng lah, bro. Gak ada tawar-menawar.~n~Bung, gue lagi gak kepengen makan ayam...
SWE2_AA	244D6A38	Carl, lu yang nyetir. Si Smoke tampangnya udah kayak mau pingsan tuh.
SWE2_BA	0F6039FB	Gimana ceritanya Ibu bisa tewas ditembak? Kita kudu bahas masalah ini.
SWE2_BB	96696841	Kita semua emang kudu bahas ini! Sasaran mereka tuh sebenernya si Sweet!
SWE2_BC	E16E58D7	Gimana ceritanya lu bisa tahu soal itu? Lu paham sendiri sifat orang-orang kayak gimana.
SWE2_BD	7F0ACD74	Ngakunya sih sayang sama lu, giliran ditanya pada mingkem semua.
SWE2_BE	080DFDE2	Pada ketakutan setengah mati bangsat.
SWE2_BF	9104AC58	Ada beberapa orang yang bilang liat mobil Sabre warna ijo yang ngeberondong,
SWE2_BG	E6039CCE	abis itu langsung tancap gas kabur.
SWE2_BH	76BC815F	Iya sih, tapi orang-orang kan emang demen bikin gosip, bener kan?
SWE2_BJ	98B2E073	Lagian juga, omongan lu barusan mah udah jadi rahasia umum separuh orang di Santos.
SWE2_BK	EFB5D0E5	Iya, lu bener, omongan gue yang salah.
SWE2_BL	71D14546	Hei, bang?
SWE2B23	8AAA603E	Bisa dibantu mau pesan apa?
SWE2B00	21955306	Carl, lu mau pesen apaan? Lu mesti makan biar bertenaga lagi, bro.
SWE2B01	56926390	Woy, gue pesen paket nomor 9 aja, gembrot.
SWE2B02	CF9B322A	Bikinin gue paket nomor 9, samaan kayak pesenan dia.
SWE2B04	26F8971F	Bungkusin gue paket nomor 6 tapi bumbu cocolannya dibanyakin.
SWE2B05	51FFA789	Gue pesen paket nomor 9 dua porsi, paket nomor 9 porsi gede satu,
SWE2B06	C8F6F633	paket nomor 6 saus cocolan ekstra satu, paket nomor 7 satu,
SWE2B07	BFF1C6A5	paket nomor 45 dua porsi pake keju satu, sama soda porsi jumbo satu.
SWE2B08	2F4EDB34	Hei maaf ya bang, lu paham kan gue harus tahu kebenaran soal almarhumah Ibu.
SWE2B09	5849EBA2	Gue paham CJ, gue paham kok. Maksud gue, gue cuma lagi berusaha buat gak kepikiran itu mulu, itu doang.
SWE2B10	388E6247	Maksud gue tuh, gue bahkan gak tahu kalau Ibu kena tembak sampai semuanya udah bener-bener telat...
SWE2B11	4F8952D1	Iya, bener, paham gue. Udah ayo kita makan dulu.
SWE2B12	D680036B	Hei, bukannya kita lagi ada ribut di sekitar sini? Belakangan ini kita sering bentrok sama anak-anak sini.
SWE2B13	A18733FD	Gue paling gak demen makan makanan dingin.
SWE2B14	3FE3A65E	Beda sama lu, seumur hidup gue mah gak sudi makan dari tong sampah.
SWE2B20	13A33184	Aduh sialan, dasar sampah lu berengsek!
SWE2B22	FDAD50A8	Oper sini makanan punya gue.
SWE2B15	48E496C8	Woy, woy liat tuh! Anak-anak Kilo Trays lagi mantau kita!
SWE2B16	D1EDC772	Sialan lu Ryder, omongan lu bawa sial mulu!
SWE2B18	3655EA75	Bangsat, tuh bajingan pada tancap gas ngarah ke tongkrongan kita!
SWE2B17	A6EAF7E4	DRIVE-BY!
SWE2_CA	167B08BA	Tancap gas! Gas, gas, gas!
SWE2_CC	F8756996	Injek gasnya, kita kudu bantai nih bajingan-bajingan!
SWE2_GA	7217CDBE	Napa lu gak ikutan nembak, Smoke?
SWE2_GB	EB1E9C04	Ntar gue tembak abis kelar makan.
