# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9B4B3CD8	Pencet ~m~~widget_horn~ buat ngebunyiin klakson mobil.
GAR1_07	2D644BA1	~r~Mobilnya udah hancur!
GAR1_10	AA1BEF43	Woy! Masuk balik ke ~b~mobil~s~.
GAR1_14	AD762B5A	~r~Jethro tewas!
GAR1_15	DA711BCC	~r~Dwayne tewas!
GAR1_16	43784A76	~r~Zero tewas!
GAR1_17	347F7AE0	~r~Truth tewas!
GAR1_18	A4C06771	~r~Lu ninggalin mobilnya!
GAR1_19	D3C757E7	~r~Lu ninggalin The Truth!
GAR1_20	8136BC80	~r~Lu ninggalin Jethro!
GAR1_21	F6318C16	~r~Lu ninggalin Dwayne!
GAR1_22	6F38DDAC	~s~Masuk ke dalam ~b~mobil~s~.
GAR1_23	183FED3A	Ketuk ~m~~widget_horn~ buat ngebunyiin klakson mobil.
GAR1_26	685519B5	~s~Pergi ke Rumah Sakit.
GAR1_AA	A226D71F	Ayolah bro, ada dua kenalan gue nih - dulu mereka kerja ngurusin mesin kapal,
GAR1_AB	3B2F86A5	sampe mafioso ngembat bisnis mereka di Vice City.
GAR1_AC	4C28B633	Sekarang mereka nyoba nyari makan pake kerjaan apa aja.
GAR1_AD	D24C2390	Mereka agak lelet dikit gara-gara kebiasaan ngobat mereka sih,
GAR1_AE	A54B1306	tapi asap obat kagak bakal ngalangan keahlian mereka ngurusin mesin.
GAR1_AF	3C4242BC	Kita jemput Jethro dulu.
GAR1_AG	4B45722A	Kabar terakhir yang gue denger, dia kerja di bengkel daerah Easter Basin.
GAR1_AH	DBFA6FBB	Kabar terakhir yang gue denger, dia kerja di bengkel daerah jalan East Esplanade.
GAR1_AJ	35F40E97	Kabar terakhir yang gue denger, dia kerja di bengkel daerah jalan North Esplanade.
GAR1_BA	890B84DC	Woy bro, gimana cerita lu bisa kenal sama nih orang-orang?
GAR1_BB	1002D566	Gue ketemu mereka pas acara pesta damai '89 Fierro Love-in kayaknya.
GAR1_BC	6705E5F0	Kayak nya?
GAR1_BD	F9617053	Lu tau sendiri lah bro kek gimana,
GAR1_BE	8E6640C5	lapangan penuh tenda, musik gila-gilaan,
GAR1_BF	176F117F	sebotol vodka meskalin, beruang kutub...
GAR1_BG	606821E9	Beruang kutub?
GAR1_BH	F0D73C78	Yoi. Tebak aja sendiri. Tapi mereka orangnya kocak bro - selera humornya dapet banget.
GAR1_CA	9010B59D	Nah di sini nih wilayahnya geng Vietnam.
GAR1_CB	0919E427	Da Nang Boys, Shining Razors, Butterfly Children.
GAR1_CC	7E1ED4B1	Hati-hati lu bro. Orang-orang ini beneran ngeraguin/serius banget.
GAR1_DA	DF51235A	Woy, Jethro!
GAR1_DB	465872E0	Halo bro Truth!
GAR1_DC	315F4276	Waduh bro, gue ada utang sama lu kagak?
GAR1_DD	AF3BD7D5	Soalnya gue bersumpah gue udah bayar ganja itu bro!
GAR1_DE	D83CE743	Kagak bro, kita aman kok kayaknya.
GAR1_DF	4135B6F9	Naik bro. Gue dapet pekerjaan beneran buat lu.
GAR1_EA	C64A121B	Jethro, ini Carl. Carl, ini Jethro.
GAR1_EB	5F4343A1	Yo bro.
GAR1_EC	28447337	Bisa kita mampir ke rumah sakit kagak, tempatnya di distrik Santa Flora, sebelah barat sini.
GAR1_ED	B620E694	Yoi, lu sakit?
GAR1_EE	C127D602	Kagak. Pemerintah yang sakit, tapi itu cerita panjang sih.
GAR1_FA	ED6741D8	Jadi lu tau lah, kek gimana kesepakatannya bro?
GAR1_FB	746E1062	Gue mau ngebuka bengkel di Doherty deket lahan kosong.
GAR1_FC	036920F4	Lu tau lah, modif mobil, lowrider, sama hal-hal kek gitu.
GAR1_FD	9D0DB557	Lu ikut kagak?
GAR1_FE	EA0A85C1	Beruang kutub boker di hutan kagak?
GAR1_FF	7303D47B	Kagak, tapi mereka ketahuan pernah boker di tenda minuman keras, kalo gue kagak salah inget.
GAR1_FG	0404E4ED	Yoi, itu mah udah parah banget bro.
GAR1_GA	F47C7099	Ngapain kita ke sini lagian?
GAR1_GB	6D752123	Kagak ada.
GAR1_GC	1A7211B5	Ooh, jangan liat.
GAR1_GD	84168416	Tutup muka kalian.
GAR1_GE	F311B480	Bayangin bebek karet warna kuning.
GAR1_GF	6A18E53A	Lu halusinasi mabu lagi nih.
GAR1_GG	1D1FD5AC	Ssshh!
GAR1_GH	8DA0C83D	Oke, gue udah liat yang perlu diliat.
GAR1_GI	FAA7F8AB	Ayo kita liat apa kita bisa nemuin Dwaine.
