# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SCR2@00	68968C77	Woy, CJ, ada apaan?
SCR2@01	1F91BCE1	Woy ada apaan, Jethro?
SCR2@02	8698ED5B	Beberapa polisi lagi nyariin lu di dalam kantor, bro.
SCR2@03	F19FDDCD	Tenpenny. Sip lah bro, gue paham.
SCR2@04	6FFB486E	Seneng ngeliat kalian semua lagi santai-santai.
SCR2@05	18FC78F8	Hmmmm?
SCR2@06	81F52942	Gue penasaran gimana tidurnya abang lu,
SCR2@07	F6F219D4	meringkuk di sebelah 'temen mandinya'
SCR2@08	664D0445	sementara lu hidup enak-enakan di luar?
SCR2@09	114A34D3	Bro, apa lagi yang kalian mau kali ini?
SCR2@10	718DBD36	Yaa, yang kita mau itu ngelanjutin pekerjaan kita dengan tenang,
SCR2@11	068A8DA0	tanpa ada orang liberal sok suci bangsat yang ikut campur
SCR2@12	9F83DC1A	ke urusan yang bahkan kagak bakal dia pahami.
SCR2@13	E884EC8C	Wartawan lagi mengejar-ngejar kalian?
SCR2@14	76E0792F	Tau apaan lu soal itu, bocah?
SCR2@15	01E749B9	Woy, santai dulu Eddie, jangan terpancing emosi dulu.
SCR2@16	98EE1803	Ada wartawan muda di luar sana yang lagi nyari panggung.
SCR2@17	EFE92895	Dia kagak paham gimana cara kerja jalanan -
SCR2@18	7F563504	kalo dia tuh harusnya cuma melaporkan apa yang seharusnya dia laporkan.
SCR2@19	08510592	Yoi, omong-omong, kita butuh lu buat membungkam tuh orang buat kita.
SCR2@20	5AA0EEF5	Sama tuh informan (*stoolie*) - bungkam dia juga!
SCR2@21	2DA7DE63	Yoi, ada wartawan yang lagi nggali-nggali kebusukan Pulaski,
SCR2@22	B4AE8FD9	kita kagak tahu siapa yang lagi buka suara,
SCR2@23	C3A9BF4F	tapi kita tahu wartawan itu mau ketemuan sama dia hari ini.
SCR2@24	5DCD2AEC	Beresin mereka berdua.
SCR2@25	2ACA1A7A	Oh - tempat yang bagus juga nih... Carl.
SCR2_00	7FEC683A	~s~Wartawan itu ada di ~y~Stasiun Cranberry~s~. Ikutin dia ke tempat pertemuannya sama Target, terus bantai mereka berdua.
SCR2_01	08EB58AC	~s~Kereta api mulai mendarat di ~y~stasiun~s~. Lu kagak punya banyak waktu sebelum keretanya berangkat membawa wartawan itu.
SCR2_02	91E20916	~s~Wartawan itu udah naik ke atas kereta api terus menuju ke Stasiun Market di Los Santos. Kejar ~r~kereta api~s~ itu!
