# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SMK3_1	62817DA9	~s~Nyetir ke ~y~Stasiun Unity~s~.
SMK3_13	10B8FB27	~r~Lu kehilangan jejak mereka! Lain kali tempel terus keretanya!
SMK3_14	8EDC6E84	~s~Maju ke sebelah gerbong depan kereta tempat ~r~anggota geng Vagos~s~ berdiri terus usahain tahan posisi di situ. Big Smoke bakal otomatis menembak pas udah masuk jangkauan.
SMK3_18	876A22AF	~s~Lu ninggalin ~b~Big Smoke~s~ di belakang, balik jemput dia!
SMK3_19	F06D1239	~s~Masuk balik ke dalam ~b~mobil~w~!
SMK3_2	FB882C13	~s~Naik ke atas ~b~sepeda motor~s~ bareng Big Smoke, kejar para ~r~anggota geng Vagos~s~ terus bantai mereka!
SMK3_20	A29CF95E	~r~Mereka berhasil kabur!
SMK3_21	D59BC9C8	~r~Big Smoke tewas!
SMK3_22	4C929872	~s~Antar Big Smoke balik ke ~y~rumahnya~s~.
SMK3_25	D2F60DD1	~s~Tempel terus gerbong depan kereta biar Big Smoke bisa menembak para ~r~anggota geng Vagos~s~.
SMK3_3	8C8F1C85	~s~Kejar para ~r~anggota geng Vagos~s~ terus bantai mereka!
SMO3_AA	740C3401	Mau ke mana, Smoke?
SMO3_AB	ED0565BB	Stasiun Unity.
SMO3_AC	9A02552D	Lu tau perumpamaan soal domba yang bijak kagak, Carl?
SMO3_AD	0466C08E	Kagak. Kayaknya gue kagak tau dah.
SMO3_AE	7361F018	Yaa, lu kudu merhatiin apa yang mau gue omongin nih.
SMO3_AF	EA68A1A2	Oke dah
SMO3_AG	9D6F9134	Domba yang bijak menuruti apa katanya, sama cuma makan rumput yang paling hijau,
SMO3_AH	0DD08CA5	sementara domba yang bego dimakan hidup-hidup sama orang kafir.
SMO3_AJ	E3DEED89	Lu lagi ngomongin apaan sih?
SMO3_AK	94D9DD1F	Gue lagi mikir mau masuk ke kementerian agama pas tua ntar.
SMO3_AL	0ABD48BC	Cuma lagi ngetes-ngetes aja.
SMO3_AM	7DBA782A	Terserah lu dah.
SMO3_BA	5F2167C2	Apaan yang lagi kita cari, Smoke?
SMO3_BB	C6283678	Beberapa anak Vagos lagi ketemuan sama San Fierro Rifa, lagi transaksi bisnis.
SMO3_BC	B12F06EE	San Fierro?
SMO3_BD	2F4B934D	Gue kira orang Meksiko Utara kagak pernah mau gaul sama anak jalanan Los Santos.
SMO3_BE	584CA3DB	Taik, omongan lu ada benernya.
SMO3_BF	C145F261	Itu keknya mereka!
SMO3_BG	B642C2F7	Para keparat itu ngeliat kita!
SMO3_BH	26FDDF66	Kita harus ngejar para bego itu!
SMO3_CA	463A5683	Ikutin kereta itu!
SMO3_CB	DF330739	Kejar kereta gila itu, CJ!
SMO3_CC	A83437AF	Ikutin jalur relnya!
SMO3_DA	097BC044	Nih motor kagak dirancang buat nahan beban segini berat!
SMO3_DB	907291FE	Lu sendiri yang badannya makin melar, CJ!
SMO3_DC	E775A168	Orang-orang kagak bakal nempatin kata "BIG" di nama lu kalo kagak ada sebabnya!
SMO3_DD	791134CB	Sialan, gue emang udah bongsor dari lahir, bego!
SMO3_DE	0E16045D	Sebaliknya, lu yang punya masalah sama pola makan!
SMO3_EA	1060F105	Maju nempel ke mereka CJ, biar gue bisa dapet posisi nembak!
SMO3_EB	8969A0BF	Deketin gue, CJ. Gue mau meletupkan para bego ini.
SMO3_EC	FE6E9029	Majuin nih motor, bro gue mau membantai para bego ini, bro.
