# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



BALLA_1	24676983	Grove Street hancur!
BALLA_2	BD6E3839	Persetan dengan para bego Grove Street itu!
RYDX_AL	AF7A4296	Woy kawan, tunggu sebentar!
RYDX_AM	D87D7200	Jangan tinggalkan aku!
RYDX_AN	417423BA	Tunggu, CJ!
RYDX_AO	3673132C	Tahan dulu, bego!
RYDX_AP	BB7B1ED9	Woy, CJ, di mana posisi lu?
RYDX_BC	14E80CC4	Ninja para keparat ini!
SW1B_1	1960B015	~s~Pergi ke ~y~tempat pengedar narkoba~s~.
SW1B_A	4965C129	~s~Pergi ke ~y~rumah B Dup~s~.
SW1B_B	D06C9093	~s~Pergi hajar ~r~pengedar crack~s~ itu.
SW1B_F	D701548A	~s~Balik ke ~y~rumah Sweet~s~.
SW1B_G	A006641C	~r~Ryder tewas!
SW1B_H	30B9798D	~s~Lu terlalu jauh dari ~b~Ryder~s~, balik jemput dia.
SWE1_SA	4E0CB505	Woy kawan, aku lagi kerja nih, apa yang lu butuhin? Apa yang lu cari, bro?
SWE1_SB	D705E4BF	Bro, aku punya barang berkualitas tinggi di sini.
SWE1_TA	014D23C2	Sekarang anak-anak Ballas tahu Grove Street Families bangkit kembali.
SWE1_TB	98447278	Tentu saja, kawan - lagipula, lu bahkan tidak lari meninggalkan aku!
SWE1_TC	EF4342EE	Waktu terus berubah...
SWE1_TD	7127D74D	Aduh bro, mereka bakal marah sama kita.
SWE1_TE	0620E7DB	Bro, aku bakal kasih peringatan ke geng nanti.
SWE1_TF	9F29B661	Untuk sekarang, mari kita nikmati keheningan kemenangan ini, keparat.
SWE1_UA	18561283	Sekarang setelah markas narkoba tidak lagi merajalela di wilayah kita...
SWE1_UB	815F4339	Mungkin anak-anak ini harus bersiap untuk pertempuran nyata!
SWE1_UC	F65873AF	Yoi, Grove bakal bangkit lagi sepenuhnya sekarang pastinya.
SWE1_UD	683CE60C	Sampai jumpa, kawan.
SWE1_VA	337B4140	Ini sama sekali tidak ada hubungannya dengan aku, pak polisi!
SWE1_VB	AA7210FA	Yoi, itu dia orangnya di sebelah sana, pak polisi!
SWE1_VC	DD75206C	Sialan, aku cabut dari sini!
SWE1_WA	2A607001	CJ! Bangun CJ!
SWE1_WB	B36921BB	CJ! Jangan pura-pura mati! Bangun, bego!
SWE1_WC	C46E112D	Ini bukan waktunya tidur siang, CJ!
SWE1_XA	ADF86CCE	YA TAHANNNN, RYDER!
SWE1_XB	34F13D74	Aduh bro, Ryder, bangun!
SWE1_YA	B4E35D8F	Kawasan blok kita jadi berantakan banget ya?
SWE1_YB	2DEA0C35	Yoi, coba aja lu minta tolong sama para pecandu crack itu.
SWE1_YC	5AED3CA3	Pantesan aja keluarga Families tidak lagi peduli.
SWE1_YD	C489A900	Selain Smoke, Sweet, dan tentu saja, yang mulia ini,
SWE1_YE	B38E9996	Grove Street sudah tidak lagi melakukan aksi geng.
SWE1_YF	2A87C82C	Yoi, cuma tau cari narkoba doang.
SWE1_YG	5D80F8BA	Tentu saja.
SWE1_YH	CD3FE52B	Mari kita berkeliling melewati blok dan cari orang yang lagi jualan.
SWE1_YJ	23318407	Yoi, kenalkan dia sama pemukul bisbol ini!
SWE1_YK	5436B491	Woy, lihat itu! Ada orang yang lagi jualan ke salah satu kawan kita!
