# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SYN_D06	48EDF53E	Kamu ikut denganku, pelacur!
SYN_D07	3FEAC5A8	Kau tidak sebanding dengan repotnya, pelacur!
SYN_F_2	AE619221	~r~Kamu menghancurkan mobil Jizzy.
SYN_F_5	30050782	~r~Cewek Jizzy tewas.
SYN_F_6	A90C5638	~r~Kamu terlalu lama.
SYN_M_1	3B3D2C7A	~s~Kembali ke dalam ~b~mobil pimpmobile~s~.
SYN_M_2	A2347DC0	~s~---- TELEPON BERDERING ----
SYN_T_1	28CAB485	Waktu :
SYN_T_2	B1C3E53F	Darah Si Cewek
SYN_T_3	C6C4D5A9	Panggil bala bantuan
SYN2_01	0FB603D2	~s~Turunkan si cewek di ~y~Pusat Kota (Downtown)~s~.
SYN2_06	91D29671	~s~Habisi makelar (*pimp*) di ~y~Hashbury~s~.
SYN2_14	66C7C61C	~s~Selamatkan ~y~cewek Jizzy~s~.
SYN2_15	11C0F68A	~s~Habisi kedua ~r~pelanggan~s~ itu.
SYN2_19	1876BAA1	~s~Pergi ke hotel di ~y~Pusat Kota (Downtown)~s~.
SYN2_20	4A8751C6	~s~Habisi ~r~sang diplomat~s~.
SYN2_30	539C6087	Tabrak ~r~mobil diplomat~w~ untuk mencegahnya memanggil bala bantuan.
SYN2_37	CDF8F524	~s~Masuk ke dalam ~b~mobil pimpmobile~s~.
SYN2_38	5D47E8B5	~s~Habisi ~r~makelar saingan~s~.
SYN2_44	1BB03259	~s~Nomor Ditelepon - ~1~
SYN2_47	82B963E3	~s~Sang ~r~diplomat~s~ kabur dengan berjalan kaki, bunuh dia!
SYN2_60	2EEB94C2	~s~Pergi ke klub Jizzy.
SYN2_61	59ECA454	~s~Tabrak ~r~mobil diplomat~s~ untuk mencegahnya memanggil bala bantuan.
SYN2_62	C0E5F5EE	~r~Kamu kehilangan jejak sang diplomat.
SYN2_63	B7E2C578	Cewek
SYN2_70	37F0A583	~s~Habisi ~r~sang pendeta~s~ dan ~r~pengawalnya~s~.
SYN2_71	40F79515	~r~Kamu kehilangan jejak sang pendeta.
SYN2_AA	69973A59	Apa kata ibumu nanti?
SYN2_AB	F09E6BE3	Kamu sama buruknya dengan mereka!
SYN2_AC	87995B75	Kotoran sepertimu selalu harus membayar untuk berhubungan seks!
SYN2_AD	19FDCED6	Oh! Kamu menjijikkan!
SYN2_BA	42BA699A	Tunggu sebentar, Tuan C-ke-J-Jay!
SYN2_BB	DBB33820	Lihat gadis muda cantik di dalam mobilku?
SYN2_BC	ACB408B6	Turunkan dia di hotel Pusat Kota.
SYN2_BD	32D09D15	Gunakan telepon mobilku untuk meneleponku kalau kamu sudah selesai.
SYN2_BE	45D7AD83	Dan jaga velgnya, kawan (*playa*)!
SYN2_BF	DCDEFC39	Perlakukan bayi itu seperti mobil Paus (*Pope Mobile*)!
SYN2_CA	5BA158DB	Halo Jizzy, ini Carl, aku baru saja menurunkan cewekmu.
SYN2_CB	C2A80961	Mantap (*Church*)! Punya sedikit tugas buatmu
SYN2_CC	B5AF39F7	sebelum kamu berurusan dengan masalah yang tadi kubicarakan.
SYN2_CD	2BCBAC54	Ada anak muda sok jagoan,
SYN2_CE	5CCC9CC2	sudah mencoba menculik cewek-cewekku di Hashbury.
SYN2_CF	C5C5CD78	Sekarang salah satu cewekku di sana baru saja melihat si keparat itu
SYN2_CG	B2C2FDEE	Aku mau kamu pergi ke sana dan habisi peniru itu!
SYN2_DA	14E0CE1C	Halo, ini CJ.
SYN2_DB	8DE99FA6	Cuma ingin memberitahu kalau kamu nggak perlu khawatir soal saingan di Hashbury.
SYN2_DC	FAEEAF30	Khawatir? Apa aku bilang aku khawatir?
SYN2_DD	648A3A93	Tidak, tidak kubilang begitu.
SYN2_DE	138D0A05	Sekarang kita bahas urusan yang sebenarnya.
SYN2_DF	8A845BBF	Beberapa cewekku di Foster Valley akhir-akhir ini sering diganggu.
SYN2_DG	FD836B29	Aku mau kamu pergi ke sana dan cari tahu — selidiki apa yang sedang terjadi.
SYN2_EA	0DFBFF5D	Ada apa nih?
SYN2_EB	94F2AEE7	Bro, cewek-cewekku dalam bahaya saat kita bicara!
SYN2_EC	E3F59E71	Cepat pergi ke sana sekarang!
SYN2_FA	26D6AC9E	Tuan Jizzy, ini CJ.
SYN2_FB	BFDFFD24	Kau ini pembawa sial, pemadat!
SYN2_FC	C8D8CDB2	Cewek yang kaudurunkan di Pusat Kota tadi mau keluar dari bisnis ini!
SYN2_FD	56BC5811	Gula-gula (*sugar daddy*) miliknya mau membawanya keluar dari jalanan!
SYN2_FE	21BB6887	Tidak ada yang boleh membajak cewek-cewekku!
SYN2_FF	B8B2393D	Sekarang kau kembali ke hotel, dan beri pelajaran pada mereka semua!
SYN2_GA	3FCD9DDF	Semuanya sudah dibereskan, Tuan Jizzy!
SYN2_GB	A6C4CC65	Oh, CJ, kau memang tangan kananku, kawan.
SYN2_GC	D1C3FCF3	Oh, ngomong-ngomong — mobil itu baru saja masuk daftar pencarian (*APB*).
SYN2_GD	4FA76950	Buang saja, simpan, terserah kau.
SYN2_GE	38A059C6	Oh, tentu saja, beres itu, bro.
SYN2_GF	A1A9087C	Asal jauhkan dari aku, cewek-cewekku, dan klubku!
SYN2_HA	B8558110	Tuhan mengutusku untuk menyelamatkan jiwamu yang hampir busuk, perempuan jalang!
SYN2_HB	215CD0AA	Masuk ke dalam mobil dan lepaskan pakaian kotor itu,
SYN2_HC	565BE03C	agar aku bisa leluasa memandang kebejatanmu!
SYN2_HD	C83F759F	Sopir,
SYN2_BF	BF384509	bawa kami keluar dari sini sebelum tangan kanan iblis merenggut gadis malang ini dari keselamatan!
