# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



TX_ADDS	DDDBAFAE	TIPS
TX_ANYP	B62917DE	~s~Kamu punya waktu ~1~ detik untuk naik ke taksi ~r~mana pun~s~.
TX_ANYS	2F204664	~s~Kamu punya waktu ~1~ detik untuk naik ke taksi ~r~mana pun~s~.
TX_BC1	BBBBCA11	~s~TUJUAN ~y~The Big Spread Ranch.
TX_BC2	22B29BAB	~s~TUJUAN ~y~The Sherman Dam.
TX_BC3	55B5AB3D	~s~TUJUAN ~y~Desert Airfield.
TX_BC4	CBD13E9E	~s~TUJUAN ~y~Tempat Latihan Menembak.
TX_BC5	BCD60E08	~s~TUJUAN ~y~Lil' Probe Inn.
TX_CABP	BE4A53F2	~s~Kamu punya waktu ~1~ detik untuk kembali ke dalam ~r~taksi~s~.
TX_CABS	27430248	~s~Kamu punya waktu ~1~ detik untuk kembali ke dalam ~r~taksi~s~.
TX_DONE	E86BEDA6	Misi Taksi Selesai!
TX_END	2B35276A	Misi taksi selesai
TX_F1	6AEAC790	~r~Tidak di dalam taksi!
TX_F2	F3E3962A	~r~Waktu habis!
TX_F3	84E4A6BC	~r~Taksi hancur!
TX_FAST	DD2044C9	BONUS KECEPATAN!
TX_FLED	D4D77229	~r~Penumpangnya mau kabur!
TX_H1	F469EA1E	Berhenti di dekat pejalan kaki yang disorot untuk menjemput mereka laluantar ke tujuan sebelum waktu habis.
TX_JUNK	FEBD9134	~r~Mobilmu hancur berantakan. Perbaiki sana.
TX_LS1	FBE7F54A	~s~TUJUAN ~y~Liquor Mart.
TX_LS10	B02B7FD7	~s~TUJUAN ~y~Bioskop Mama's.
TX_LS11	C72C4F41	~s~TUJUAN ~y~Motel 24 jam.
TX_LS12	5E251EFB	~s~TUJUAN ~y~The Well Stacked Pizza Co.
TX_LS13	29222E6D	~s~TUJUAN ~y~Pangkas Rambut Reece.
TX_LS14	B746BBCE	~s~TUJUAN ~y~Toko Tato.
TX_LS15	C0418B58	~s~TUJUAN ~y~Area Parkir Truk.
TX_LS16	5948DAE2	~s~TUJUAN ~y~Stasiun Unity.
TX_LS17	2E4FEA74	~s~TUJUAN ~y~Bandara.
TX_LS18	BEF0F7E5	~s~TUJUAN ~y~Bandara.
TX_LS19	C9F7C773	~s~TUJUAN ~y~Observatorium.
TX_LS2	62EEA4F0	~s~TUJUAN ~y~Stadion.
TX_LS20	9B062C14	~s~TUJUAN ~y~Kantor Polisi.
TX_LS21	EC011C82	~s~TUJUAN ~y~Pershing Square.
TX_LS22	75084D38	~s~TUJUAN ~y~Taman Skateboard.
TX_LS23	020F7DAE	~s~TUJUAN ~y~Rumah Sakit Umum Kabupaten.
TX_LS24	9C6BE80D	~s~TUJUAN ~y~Ammu-Nation.
TX_LS25	EB6CD89B	~s~TUJUAN ~y~Rumah Sakit Umum All Saints.
TX_LS26	72658921	~s~TUJUAN ~y~Toko Donat.
TX_LS27	0562B9B7	~s~TUJUAN ~y~Stasiun Market.
TX_LS28	95DDA426	~s~TUJUAN ~y~The Country Club.
