# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



SCR1@00	7A232399	Carl, Gimana San Fierro?
SCR1@01	0D24130F	Kacau banget.
SCR1@02	942D42B5	Sejujurnya gue pengen ngomong gue berharap lu ada di sini.
SCR1@03	E32A7223	Bagus. Sekarang, lu dapet hadiah buat teman gue itu, kan,
SCR1@04	7D4EE780	lu tau, orang yang nyoba bikin gua dan Petugas Pulaski dapet masalah?
SCR1@05	0A49D716	Ya.
SCR1@06	934086AC	Kenapa lu kagak nyimpen sesuatu di mobilnya?
SCR1@07	E447B63A	dan telpon We Tip.
SCR1@08	74F8ABAB	Hey, bajingan, kode jalanan adalah "aku tidak mengadu".
SCR1@09	03FF9B3D	Gua kagak peduli kalo itu membunuh lu, gua, saudara gua.
SCR1@10	633812D8	Kucing jalanan kagak bakal manggil polisi.
SCR1@11	143F224E	Carl, dia itu Jaksa.
SCR1@12	8D3673F4	Oh ya? Terus di mana gue bisa nyari dia?
SCR1@13	FA314362	Dia lagi ada di Hotel Vank Hoff di Financial.
SCR1@14	6455D6C1	Oh tentu aja.
SCR1_AA	7C7FCEC9	Halo? ini WE TIP?
SCR1_AB	E5769F73	Saya melihat sesuatu yang sangat mencurigakan, Kalian harus datang untuk memeriksanya...
SCR1_AC	9271AFE5	Polisi! Jangan bergerak!
SCR1_AD	0C153A46	Keluar dari mobil dan angkat tangan!
SCR1_AE	7B120AD0	Apa lu tau lu macem macem ama siapa?
SCR1_AF	E21B5B6A	Gua bakal copot lencana lu, Bodoh!
SCR1_AG	951C6BFC	Diam! Lu nemu sesuatu di sana?
SCR1_AH	05A3766D	Nemu sesuatu? Dia punya setengah MEKSIKO di sini!
SCR1_AJ	EBAD1741	Pasti ada dua ton Mary di sini!
SCR1_AK	9CAA27D7	Apa? Tapi... Tapi gua gak pernah liat... gimana bisa..?
SCR1_AL	02CEB274	Hebat banget pembelaan lu, Kawan.
SCR1_AM	75C982E2	Masuk ke mobil!
SCR1_BA	57529D0A	Hey itu Jaksa. Dia pemberi tip yang baik.
SCR1_BB	CE5BCCB0	Ah, kamu pasti anak baru. Cepetan baris.
SCR1_BC	B95CFC26	Hey kamu, kembali berbaris!
SCR1_BD	27386985	Duh gusti, dia udah pergi ke kantor pos!
V_HEY_1	1497A937	Woy, lu gak boleh gitu!
V_HEY_2	8D9EF88D	Woy lu, berhenti!
V_HEY_3	FA99C81B	Woy, woy balik sini!
VAL_11	D0D84DCF	~s~Kembali ke atas ~y~tempat parkir~s~.
VAL_12	49D11C75	~s~Jaksa mengendarai mobil Merit warna biru. Ingat itu, Kamu perlu mengidentifikasinya dengan benar saat mobil itu tiba.
