# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	E8F24EED	Press and hold the lower right corner of the screen to sprint.
SMK2_1	6343179E	~s~Get into Big Smoke's ~b~car.
SMK2_10	310DCDF8	~s~Catch the ~r~gang member ~s~before he reaches his destination!
SMK2_11	460AFD6E	~r~He got away!
SMK2_12	DF03ACD4	~r~Big Smoke's car was destroyed!
SMK2_15	41673977	~s~Drive Big Smoke to the ~y~meet.
SMK2_16	D86E68CD	~s~Get a weapon, then get back into Big Smoke's ~b~car~s~.
SMK2_17	AF69585B	~s~Chase down the ~r~gang member~s~.
SMK2_2	FA4A4624	~s~Drive Big Smoke to the ~y~meet.~N~~s~If you need a weapon, go to Emmet's house.
SMK2_3	8D4D76B2	~s~Get back into Big Smoke's ~b~car.
SMK2_4	1329E311	~s~Chase down the Los Santos Vagos ~r~gang member.
SMK2_7	8A20B2AB	~r~Big Smoke died!
SMK2_8	1A9FAF3A	~s~The ~r~gang member ~s~is escaping in a car!~N~Get a vehicle and chase him down.
SMK2_9	6D989FAC	~s~The ~r~gang member ~s~is escaping in a car!~N~Catch him before he gets away.
SMK2_H1	B8F73FD1	Press and hold ~m~~widget_sprint~ to sprint.
SMK2_H2	21FE6E6B	You can only use the Super Sprint for a short time before becoming tired.
SMO2_AA	CCB05364	Why you let me drive all the time, Smoke?
SMO2_AB	55B902DE	Cat like me likes to scope the streets once in a while, ya know what I'm sayin'?
SMO2_BA	E79D00A7	What you want me to roll with you for anyway?
SMO2_BB	7E94511D	No reason. I just wanted to get in the car pool lane.
SMO2_BC	0993618B	Oh yeah?
SMO2_BD	97F7F428	Yeah man, just cool out homie, just chill.
SMO2_BE	E0F0C4BE	Your cousin's coming here? From Mexico?
SMO2_BF	79F99504	Yeah, me an' her go way back, way back.
SMO2_BG	0EFEA592	Ah Smoke, you full a shit.
SMO2_BH	9E41B803	Don't be prejudiced again in my presence, Carl.
SMO2_BJ	704FD92F	Everybody is my cousin.
SMO2_BK	0748E9B9	Brothers from different mothers, sisters from different fathers.
SMO2_BL	992C7C1A	And all that kind of shit.
SMO2_CA	FE8631E6	Man, I'm done!
SMO2_CB	678F605C	I ain't built for this shit!
SMO2_CC	108850CA	CJ, this one's all yours, baby.
