# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	949B79D5	To look around the car use the camera movement controls. To fire press ~m~~widget_attack~.
FIN1_AA	4D122445	This is the Los Santos Police Department; Stay where you all are!
FIN1_AB	D41B75FF	stay where you all are!
FIN1_AC	A31C4569	Freeze or we will open fire!
FIN1_AD	3D78D0CA	Go! Go! Go!
FIN1_AE	4A7FE05C	Get into positions!
FIN1_AF	D376B1E6	Fall back!
FIN1_AG	A4718170	Defensive positions!
FIN1_AH	34CE9CE1	Await backup!
FIN1_AI	43C9AC77	These fucking gang bangers!
FIN1_AJ	DAC0FDCD	Drop these ghetto bunnies!
FIN1_AK	ADC7CD5B	We're gonna hump your cold bodies!
FIN1_AL	33A358F8	Take him out!
FIN1_AM	44A4686E	Neutralize that tango!
FIN1_AN	DDAD39D4	Drop that guy!
FIN1_AO	AAAA0942	Tango down!
FIN1_AP	27A204B7	Scratch one asshole!
FIN1_AQ	50A53421	One for a bag!
FIN1_AR	C9AC659B	Breach that door!
FIN1_AS	BEAB550D	Go Go Go!
FIN1_AT	20CFC0AE	Clear to the left!
FIN1_AU	57C8F038	Tango on the right!
FIN1_AV	CEC1A182	Clear to the right!
FIN1_AX	29798C85	Tango on the left!
FIN1_AY	5E7EBC13	Room clear!
FIN1_AZ	C777EDA9	Clear!
FIN1_BA	663F7786	Shoot out the lock!
FIN1_BB	FF36263C	Where's that shotgun?
FIN1_BC	883116AA	I'm taking fire, cover me!
FIN1_BD	16558309	Get some suppressing fire in there!
FIN1_BE	6152B39F	Gimme some fucking covering fire!
FIN1_BF	F85BE225	Get those damn shields in here!
FIN1_BG	8F5CD2B3	Where are those shields?
FIN1_BH	1FE3CF22	Shut up and get in!
FIN1_BI	68E4FFB4	Mind your head.
FIN1_BJ	F1EDAE0E	Take your last look at freedom, boys!
FIN1_BK	86EA9E98	Surprise, homeboy!
FIN1_BL	188E0B3B	Heads up, brother!
FIN1_BM	6F893BAD	You can't hide for ever!
FIN1_BN	F6806A17	Might as well come out!
FIN1_BO	81875A81	Buzzard 1, light up the roof!
FIN1_BP	0C8F5774	Buzzard 1, tangos on the roof!
FIN1_BQ	7B8867E2	We got tangos on the roof, where's that chopper?
FIN1_BR	E2813658	Roger, I got 'em!
