# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



A_CANC	49ACBD0A	~r~Misi paramedis dibatalkan!
A_COMP1	3234CD61	Misi paramedis selesai: $~1~
A_COMP2	AB3D9CDB	Kamu tidak akan pernah lelah!
A_COMP3	DC3AAC4D	~s~Kesehatan maksimum Kamu telah meningkat!
A_FAIL1	FB75C0A3	Misi paramedis dibatalkan
A_FAIL2	627C9119	~r~Kurangnya urgensi Kamu berakibat fatal bagi pasien!
A_FAIL3	157BA18F	~r~Pasien sudah meninggal!!
A_FULL	C7D43987	~s~Ambulan penuh!!
A_PASS	E9DB3903	Diselamatkan!
A_SAVES	36718721	DISELAMATKAN: ~1~
ALEV	8B95249E	LEVEL
ALEVEL	21A57E2B	Level Misi Paramedis ~1~
AMBSEAT	3B974819	KURSI KOSONG
AMBTIME	695FE63A	WAKTU TERSIA
ATUTOR2	98F06848	~s~Antarkan ~b~pasien~s~ ke ~y~Rumah Sakit~s~ dengan HATI-HATI. Setiap benturan akan mengurangi peluang mereka untuk bertahan hidup.
