# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



DES4@00	04BDBB46	It's amazing!
DES4@01	73BA8BD0	What's up now, Toreno?
DES4@02	EAB3DA6A	This history. It's all lies.
DES4@03	9DB4EAFC	It says Hitler killed himself and that we nuked Japan.
DES4@04	03D07F5F	And people believe this shit. Jesus.
DES4@05	74D74FC9	Well, if it makes them sleep better at night, I guess.
DES4@06	EDDE1E73	Hey man, what did you want?
DES4@07	9AD92EE5	Is you gonna free my brother?
DES4@08	0A663374	No. Not now.
DES4@09	7D6103E2	And here's a little newsflash - I said that to get you to do something for me.
DES4@10	1DA68A07	But the shocker is, we are gonna look after him.
DES4@11	6AA1BA91	Because I need him alive as much as you do.
DES4@12	F3A8EB2B	Oh, thanks.
DES4@13	84AFDBBD	You know, after what you've done for me, it's like you're a pro now.
DES4@14	1ACB4E1E	I got double agents in Panama who want to put a price on your head.
DES4@15	6DCC7E88	A Russian spy - a little, fat, Boris looking guy - he's asking for clearance to interrogate you,
DES4@16	F4C52F32	Russian style. Calipers on the genitals. Feels good, you'd like it.
DES4@17	83C21FA4	That ain't nothing cool, man! Just leave me alone.
DES4@18	137D0235	- You're bad news!~n~- Don't worry about it.
DES4@19	647A32A3	Don't worry about it.
DES4@20	368BD9C4	The Russians got bigger things to worry about than your genitals, believe me.
DES4@21	418CE952	The whole country went to shit.
DES4@22	D885B8E8	We tried hard to put a lid on it, but that idiot Gorbachev, with the little strawberry on his forehead, he gave away the crown jewels.
DES4@23	AF82887E	Still, they got their, you know, their boy in the White House. That was nice...
DES4@24	31E61DDD	So? What you want me to do?
DES4@25	46E12D4B	Listen, I need you to buy some property, ok.
DES4@26	DFE87CF1	Shouldn't cost that much. You offer them a dollar.
DES4@27	A8EF4C67	If they give you a hard time, kill them.
DES4@28	385051F6	I'm going to need you to start doing some real wet work here for me soon, OK?
DES4@29	4F576160	Enough of this little girl bullshit. Now get out of here.
DES4@30	2F90E885	Man, you real fucked up.
