# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9B4B3CD8	Press ~m~~widget_horn~ to sound car horn.
GAR1_07	2D644BA1	~r~The car's destroyed!
GAR1_10	AA1BEF43	Hey! Get back in the ~b~car.
GAR1_14	AD762B5A	~r~Jethro's dead!
GAR1_15	DA711BCC	~r~Dwayne's dead!
GAR1_16	43784A76	~r~Zero's dead!
GAR1_17	347F7AE0	~r~Truth's dead!
GAR1_18	A4C06771	~r~You abandoned the car!
GAR1_19	D3C757E7	~r~You abandoned The Truth!
GAR1_20	8136BC80	~r~You abandoned Jethro!
GAR1_21	F6318C16	~r~You abandoned Dwayne!
GAR1_22	6F38DDAC	~s~Get inside the ~b~car~s~.
GAR1_23	183FED3A	Tap ~m~~widget_horn~ to sound car horn.
GAR1_26	685519B5	~s~Get to The Hospital.
GAR1_AA	A226D71F	C'mon, man, there's these two guys I know - used to work on marine engines,
GAR1_AB	3B2F86A5	'til the mob bought their business over in Vice.
GAR1_AC	4C28B633	Now they try and make ends meet by taking any old job.
GAR1_AD	D24C2390	They're a little bit dulled by their habit,
GAR1_AE	A54B1306	but the smoke don't get in the way of their skills with an engine.
GAR1_AF	3C4242BC	We'll pick up Jethro first.
GAR1_AG	4B45722A	Last I heard, he was working at a garage over Easter Basin.
GAR1_AH	DBFA6FBB	Last I heard, he was working at a garage over East Esplanade way.
GAR1_AJ	35F40E97	Last I heard, he was working at a garage over North Esplanade way.
GAR1_BA	890B84DC	Hey man, how'd you meet these dudes anyway?
GAR1_BB	1002D566	I met them at the '89 Fierro Love-in, apparently.
GAR1_BC	6705E5F0	Apparently?
GAR1_BD	F9617053	You know how it is, man,
GAR1_BE	8E6640C5	a field of tents, crazy-assed music,
GAR1_BF	176F117F	a quart of mescaline vodka, polar bears...
GAR1_BG	606821E9	Polar bears?
GAR1_BH	F0D73C78	Yeah. Go figure. But they were funny guys, man - great sense of humor.
GAR1_CA	9010B59D	This here's Vietnamese gang territory.
GAR1_CB	0919E427	Da Nang Boys, Shining Razors, Butterfly Children.
GAR1_CC	7E1ED4B1	Watch yourself, dude. These cats are real serious.
GAR1_DA	DF51235A	Hey, Jethro!
GAR1_DB	465872E0	Hey there Truth dude!
GAR1_DC	315F4276	Oh man, do I owe you?
GAR1_DD	AF3BD7D5	Coz I swear I paid for that weed, dude!
GAR1_DE	D83CE743	No, man, we're good, I think.
GAR1_DF	4135B6F9	Hop in, man. I've landed you a real job.
GAR1_EA	C64A121B	Jethro, Carl. Carl, Jethro.
GAR1_EB	5F4343A1	Wassup man.
GAR1_EC	28447337	Can we swing by the hospital, it's over in Santa Flora district, west of here.
GAR1_ED	B620E694	Yeah, you sick?
GAR1_EE	C127D602	No. The government is, but that's a long story.
GAR1_FA	ED6741D8	So y'know, like what's the deal, dudes?
GAR1_FB	746E1062	I'm opening a garage in Doherty by the waste ground.
GAR1_FC	036920F4	You know, car mods, lowriders, all that shit.
GAR1_FD	9D0DB557	You down?
GAR1_FE	EA0A85C1	Do polar bears shit in the woods?
GAR1_FF	7303D47B	No, but they've been known to shit in the liquor tent, if I remember it right.
GAR1_FG	0404E4ED	Yeah, that was, like, so far gone, man.
GAR1_GA	F47C7099	What we here for, anyway?
GAR1_GB	6D752123	Nothin'.
GAR1_GC	1A7211B5	Ooh, don't look.
GAR1_GD	84168416	Cover your faces.
GAR1_GE	F311B480	Think about a yellow rubber duck.
GAR1_GF	6A18E53A	You tripping again.
GAR1_GG	1D1FD5AC	Sshhh!
GAR1_GH	8DA0C83D	OK, I've seen enough.
GAR1_GI	FAA7F8AB	Let's go see if we can find Dwaine.
GAR1_GJ	63AEA911	He's working a hotdog van at the tram terminal in King's.
GAR1_HA	73E46C56	C'mon, dude, what's all that about?
GAR1_HB	EAED3DEC	You don't want to know.
GAR1_HC	9DEA0D7A	Why?
GAR1_HD	038E98D9	Do you know what a sub-dermal neurophone is?
GAR1_HE	7489A84F	A what?
GAR1_HF	ED80F9F5	Exactly.
GAR1_HG	9A87C963	Sometimes it's best to stay in the dark, kid.
GAR1_JA	41D20ED4	Dude, Dwaine, man, how's the hot dog business?
GAR1_JB	D8DB5F6E	It's totally shit. Why, what's happenin'?
GAR1_JC	AFDC6FF8	Uh, my friend Carl here is opening a chop shop.
GAR1_JD	31B8FA5B	Jethro's in, how about you?
GAR1_JE	46BFCACD	Ah yeah, cool man.
GAR1_JF	DFB69B77	Uh I've got like some shit to take care of first though.
GAR1_JG	A8B1ABE1	So uh you tell me where you guys are going to be at and I'll meet you dudes there.
GAR1_JH	380EB670	The garage is on the waste grounds in Doherty.
GAR1_JJ	D600D75C	I'll see y'all later.
GAR1_KA	58C93F95	OK, next stop the cop station downtown.
GAR1_KB	C1C06E2F	What? You out your mind! Why?
GAR1_KC	B6C75EB9	If I told you, the likelihood is you'd get a probe up your ass within a month.
GAR1_KD	28A3CB1A	Like, listen to the man, dude, he's real serious about that shit.
GAR1_KE	5FA4FB8C	Wuh? OK, but you're starting to freak me out with all that space shit, man.
GAR1_LA	1788A952	OK, you know the drill.
GAR1_LB	8E81F8E8	Don't look interested in anything.
GAR1_LC	F986C87E	Picture a pink golfball in your mind.
GAR1_LD	67E25DDD	OK, we're good to go.
GAR1_MA	0E939813	Where to next, Spacehead?
GAR1_MB	979AC9A9	There's an electronics guy I've had dealings with,
GAR1_MC	E09DF93F	goes by the name of ZERO.
GAR1_MD	7EF96C9C	He could fix a supercomputer with a paperclip.
GAR1_ME	09FE5C0A	He's got his own shop,
GAR1_MF	90F70DB0	but he's always ready to help fellow travelers along the path.
GAR1_MG	E7F03D26	Let's go introduce you to him
GAR1_NA	25BECBD0	Look, what's goin' on, Truth?
