# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



GM1_1	F324C25D	~s~Go to ~y~Glen Park~s~.
GM1_12	DDFE580B	~r~Big Bear is dead!
GM1_15	439ACDA8	~s~Go and confront ~y~B Dup~s~.
GM1_16	DA939C12	~s~Get back to ~y~Glen Park~s~ and take over the ~y~territory~s~!
GM1_17	AD94AC84	~s~The enemy have retaken the territory!
GM1_18	3D2BB115	~s~Get to ~y~B Dup's~s~ house.
GM1_2	6A2D93E7	~s~You have left ~b~Sweet~s~ behind go get him.
GM1_3	1D2AA371	~s~Attack the Ballas and take over their territory.
GM1_4	834E36D2	~r~Sweet's dead!
GM1_7	1A476768	SWEET
GM1_9	FDFF4A6F	~s~Kill B Dup's ~r~Guards~s~!
GR1A@00	9495E77B	Just a little bit of party. I heard you was down.
GR1A@01	E392D7ED	So I gotta gift from B Dup.
GR1A@02	7A9B8657	Come on now, I can't do that.
GR1A@03	0D9CB6C1	C'mon, Sweet, come on - make sure you enjoy this.
GR1A@04	93F82362	This is a rich man's high. All the players are doin' it.
GR1A@05	E4FF13F4	I know you're gonna enjoy this. It takes the pain away...
GR1A@06	7DF6424E	C'mon, Sweet...
GR1A@07	0AF172D8	Oh, what the hell you doin'!?
GR1A@08	9A4E6F49	Man, everything is caine, caine, caine.
GR1A@09	ED495FDF	Man, I just wanna see what's so good.
GR1A@10	8D8ED63A	What's wrong with you, man?
GR1A@11	FA89E6AC	Man, this shit already destroyed the whole 'hood.
GR1A@12	6380B716	I... I might as well let it destroy me, too.
GR1A@13	14878780	Man, you don't need that shit, Sweet.
GR1A@14	8AE31223	What do you know about this?
GR1A@15	FDE422B5	THIS is what it boils down to now.
GR1A@16	64ED730F	Come on, Sweet. Toke the smoke.
GR1A@17	13EA4399	Hey, man, that shit'll steal your heart.
GR1A@18	83555E08	You can't see that?
GR1A@19	F4526E9E	- This bitch talks nice to you and this is what you do?~n~- Aw, fuck this!
GR1A@20	A6A385F9	You're going to have to deal with B Dup.
GR1A@21	D1A4B56F	What? B DUP? We can handle that shit right now, man.
GR1A@22	48ADE4D5	Come on, Sweet.
GR1A@23	3FAAD443	Yeah. Damn. What was I thinking?
GR1A@24	A1CE41E0	Well, B DUP said that crack had to get smoked,
GR1A@25	D6C97176	so I guess I'm on my own.
GR1A@26	4FC020CC	Oh, yeah?
GR1A@27	38C7105A	Shit.
GR1A@28	A8780DCB	Aw, fuck this!
GR1A@29	DF7F3D5D	Get your ass outta here. Bitch!
GR1B@00	86204895	Hey, B Dup! Open up!
GR1B@01	F1277803	Yo, Dup ain't here. Moved out a while back.
GR1B@02	682E29B9	Where'd he go, dickhead?
GR1B@03	1F29192F	Yo yo yo, you're messing up a cat's colors, dude!
GR1B@04	814D8C8C	Yo, I got something, a little something, just what you need...
GR1B@05	F64ABC1A	I don't want none of that shit!
GR1B@06	6F43EDA0	I oughta split your wig right now!
GR1B@07	1844DD36	Sweet, no, you trippin', you trippin', man - c'mon, put the gun down!
GR1B@08	88FBC0A7	He a base-head, man!
GR1B@09	FFFCF031	Shit. He wearing Family colors,
GR1B@10	9F3B79D4	that's supposed to make him somebody.
GR1B@11	E83C4942	Look, fool, tell us where B Dup is,
GR1B@12	713518F8	and we outta here.
GR1B@13	0632286E	He lives over Glen Park way - his boy always there,
GR1B@14	9856BDCD	give a cat what he needs.
GR1B@15	EF518D5B	B Dup!
GR1B@16	7658DCE1	Hey, open the door, punk!
GR1B@17	015FEC77	Fool!
GR1B@18	91E0F1E6	Speak up, fool!
GR1B@19	E6E7C170	Nononono! No! Ah! No!
GR1B@20	B4162A17	You're lucky.
GR1C@00	3E9C2FF0	Say something!
GR1C@01	499B1F66	Hey, hey, no! I had no choice. I was threatened!
GR1C@02	D0924EDC	Shit came from the boss, homie!
GR1C@03	A7957E4A	Pop this motherfucker, man. I'm tired of hearing his bullshit.
GR1C@04	39F1EBE9	No, man! I'm sorry, dog - Smoke's fuckin' crazy.
GR1C@05	4EF6DB7F	He's paranoid - just sits in the house,
GR1C@06	D7FF8AC5	thinking other fools want his business!
GR1C@07	A0F8BA53	Where's Smoke?
GR1C@08	3047A7C2	I can't tell you that.
GR1C@09	47409754	Then I'll snatch your fucking tongue out!
GR1C@10	27871EB1	Man, I ain't saying nothing, homie, 'cause I don't know!
GR1C@11	50802E27	Only his lieutenants know where he's at!
GR1C@12	C9897F9D	I oughta wet your shirt anyway!
GR1C@13	BE8E4F0B	Bear! Hey, Bear! Get the fuck out here!
GR1C@14	20EADAA8	What's up, your lordship?
GR1C@15	57EDEA3E	Kill these motherfuckers and I'll give you a whole quarter sack. Now handle that.
GR1C@16	CEE4BB84	Shoot them! What the fuck is wrong with you? You ain't hear what the fuck I said?
GR1C@17	B9E38B12	I'm tired of smoking, I'm tired of crack
GR1C@18	295C9683	and I'm tired of doing your fucking housework.
GR1C@19	5E5BA615	CJ, man, c'mon, put me back on the team.
GR1C@20	0CAA4D72	Gimme twenty bucks, and I'm all yours, man.
GR1C@21	7BAD7DE4	Blast from the past.
GR1C@22	E2A42C5E	Hey, let's take a ride, homie - I'm gonna shoot you somewhere you're gonna enjoy.
GR1C@23	95A31CC8	Bear, what the fuck you doing? Come on, man. I take care of you!
GR1C@24	0BC7896B	Oh, shit! Man, what the fuck you do that for, man?
