# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



MCES10A	7C1CF3DD	CJ.
MCES10B	E515A267	You got it.
MCES10C	921292F1	Hey, my cousin just called me.
MCES10D	0C760752	He gave me a tip about a Balla car going San Fierro to score yay.
MCES10E	7B7137C4	Shit, we gotta find out who's supplyin' those cats.
MCES10F	E278667E	Read your mind, holmes,
MCES10G	957F56E8	I picked them up at the Mulholland Intersection and I'm trailing them now.
MCES10H	05C04B79	OK, I'm coming to meet you.
MCES10J	EBCE2A55	Better make it fast, holmes, these boys aren't hanging around!
MCES10K	9CC91AC3	I've got an idea - I'll be there in a minute.
SYN1_01	1D03AC3C	~s~Go and steal a car.
SYN1_02	840AFD86	~s~Go and pick up ~b~Cesar~s~.
SYN1_03	F30DCD10	~s~Track down that ~r~Balla car~s~.
SYN1_04	6D6958B3	~s~Photograph ~r~his ~s~face!
SYN1_05	1A6E6825	~s~Zoom in further.
SYN1_06	8367399F	~r~Cesar didn't make it.
SYN1_07	F4600909	~s~Get in the ~b~car~s~.
SYN1_08	64DF1498	~r~You destroyed the car!
SYN1_09	13D8240E	~r~You didn't get the photo!
SYN1_10	731FADEB	~s~Get a photo of ~r~his ~s~face!
SYN1_11	04189D7D	~s~Got him! Look out for the next target!
SYN1_12	9D11CCC7	~s~Photograph the face of each target, but be quick about it and be sure to zoom in!
SYN1_13	EA16FC51	~s~Head out to ~y~Angel Pine~s~.
SYN1_14	747269F2	~s~Get up on the ~y~roof~s~.
SYN1_15	03755964	~s~Get in ~b~Cesars~s~ car.
SYN1_44	09059DB7	~m~~widget_zoom_in~ Zoom in. ~m~~widget_zoom_out~ Zoom out.
SYN1_AA	7B2295B7	Hey, who are you?
SYN1_AB	E22BC40D	Uh, a Helmet Inspection Officer.
SYN1_AC	952CF49B	Eh, you see that shit? Look over there!
SYN1_AD	0B486138	Where?
SYN1_AE	7C4F51AE	There!
SYN1_AF	E5460014	Ow! Ooomph!
SYN1_BA	500FC674	Eh, Cesar, I'm coming at you, where you at?
SYN1_BB	C90697CE	Sitting by the damn road just South of Blueberry!
SYN1_BC	BE01A758	They spotted me and shot out my ride!
SYN1_BD	206532FB	Alright, hold up, I'll be there in a minute!
SYN1_CA	4914F735	OK, sucker, the game's up!
SYN1_CB	D01DA68F	I hope that's a gun at the back of my head, and not something else.
SYN1_CC	A71A9619	No, I'm just fucking pleased to see you!
SYN1_CD	397E03BA	Land this thing!
SYN1_DA	065561F2	Enjoy the walk, asshole!
